env_step,episode_reward,epoch,rollout_length,step
999.0,-264.7043773574606,0.0,1.0,1
1999.0,-437.6881344878421,1.0,1.0,2
2999.0,-656.1864794678146,2.0,1.0,3
3999.0,-290.85945384718747,3.0,1.0,4
4999.0,-310.75643828662976,4.0,1.0,5
5999.0,-0.5677365506014382,5.0,1.0,6
6999.0,-104.02826317062183,6.0,1.0,7
7999.0,-174.55724311615785,7.0,1.0,8
8999.0,128.91614915248283,8.0,1.0,9
9999.0,-95.58070764949238,9.0,1.0,10
10999.0,-26.431266567150857,10.0,1.0,11
11999.0,369.98736483500204,11.0,1.0,12
12999.0,329.2031027749563,12.0,1.0,13
13999.0,57.81341935036227,13.0,1.0,14
14999.0,-80.38421872760193,14.0,1.0,15
15999.0,339.32493713643294,15.0,1.0,16
16999.0,938.0077405724353,16.0,1.0,17
17999.0,1812.592031488255,17.0,1.0,18
18999.0,1745.438694571364,18.0,1.0,19
19999.0,1879.5212263878268,19.0,1.0,20
20999.0,1606.3078722836271,20.0,1.0,21
21999.0,4166.075524250371,21.0,1.0,22
22999.0,216.18729990188888,22.0,1.0,23
23999.0,73.27278350332705,23.0,1.0,24
24999.0,9260.174067362104,24.0,1.0,25
25999.0,3125.977256682826,25.0,1.0,26
26999.0,5527.37863839403,26.0,1.0,27
27999.0,6357.033586142691,27.0,1.0,28
28999.0,-71.81700479085657,28.0,1.0,29
29999.0,2923.193727521732,29.0,1.0,30
30999.0,3770.9926230322735,30.0,1.0,31
31999.0,4480.482150528836,31.0,2.0,32
32999.0,15354.497912635861,32.0,2.0,33
33999.0,11884.830179358198,33.0,2.0,34
34999.0,21125.45653557762,34.0,2.0,35
35999.0,-44.23823200784702,35.0,2.0,36
36999.0,4331.835364014531,36.0,2.0,37
37999.0,22533.95694009928,37.0,2.0,38
38999.0,6919.0520173330115,38.0,2.0,39
39999.0,11027.82662765382,39.0,2.0,40
40999.0,10123.814199853783,40.0,2.0,41
41999.0,19531.19572160449,41.0,2.0,42
42999.0,23406.719309852557,42.0,2.0,43
43999.0,23945.81347140092,43.0,3.0,44
44999.0,21735.32156618578,44.0,3.0,45
45999.0,21227.12237389187,45.0,3.0,46
46999.0,22871.670789659773,46.0,3.0,47
47999.0,2247.9590909994745,47.0,3.0,48
48999.0,5042.24068993389,48.0,3.0,49
49999.0,22775.86650815884,49.0,3.0,50
50999.0,22133.196031152478,50.0,3.0,51
51999.0,11312.386299831096,51.0,3.0,52
52999.0,21381.44195102505,52.0,3.0,53
53999.0,22837.241805351732,53.0,3.0,54
54999.0,9011.011592445397,54.0,4.0,55
55999.0,19125.982864450492,55.0,4.0,56
56999.0,22441.21990427266,56.0,4.0,57
57999.0,11731.40486650299,57.0,4.0,58
58999.0,22399.714007633924,58.0,4.0,59
59999.0,23592.31374908163,59.0,4.0,60
60999.0,23223.38894261817,60.0,4.0,61
61999.0,22039.38875434345,61.0,4.0,62
62999.0,7486.156915708137,62.0,4.0,63
63999.0,23358.119414771,63.0,4.0,64
64999.0,23849.556080270373,64.0,4.0,65
65999.0,21309.32023769894,65.0,4.0,66
66999.0,24606.28050454991,66.0,5.0,67
67999.0,24387.716517026165,67.0,5.0,68
68999.0,25743.439901597616,68.0,5.0,69
69999.0,25156.971934162968,69.0,5.0,70
70999.0,23040.541439420485,70.0,5.0,71
71999.0,25384.604953310267,71.0,5.0,72
72999.0,24738.865630722943,72.0,5.0,73
73999.0,22718.016237979038,73.0,5.0,74
74999.0,22784.24726170544,74.0,5.0,75
75999.0,25262.195712914145,75.0,5.0,76
76999.0,24285.384968310682,76.0,5.0,77
77999.0,22424.626799175596,77.0,5.0,78
78999.0,24581.551633051873,78.0,6.0,79
79999.0,26778.465538649947,79.0,6.0,80
80999.0,26017.00802462807,80.0,6.0,81
81999.0,25226.24364484291,81.0,6.0,82
82999.0,17020.080160449997,82.0,6.0,83
83999.0,26218.59495396299,83.0,6.0,84
84999.0,24953.934420009675,84.0,6.0,85
85999.0,22288.88504802257,85.0,6.0,86
86999.0,4803.5680187292655,86.0,6.0,87
87999.0,25302.225950671997,87.0,6.0,88
88999.0,24824.085956740542,88.0,6.0,89
89999.0,24619.199562360573,89.0,7.0,90
90999.0,24959.833203347207,90.0,7.0,91
91999.0,23601.42306537101,91.0,7.0,92
92999.0,22013.438276338053,92.0,7.0,93
93999.0,24854.122593689262,93.0,7.0,94
94999.0,21736.86381313397,94.0,7.0,95
95999.0,25924.96414024121,95.0,7.0,96
96999.0,25610.41873387325,96.0,7.0,97
97999.0,27273.86819518121,97.0,7.0,98
98999.0,12391.699772140899,98.0,7.0,99
99999.0,25593.67827661898,99.0,7.0,100
100999.0,23086.76401066519,100.0,7.0,101
101999.0,21133.990869635127,101.0,8.0,102
102999.0,26019.405003357795,102.0,8.0,103
103999.0,22325.943976533214,103.0,8.0,104
104999.0,23425.213971144465,104.0,8.0,105
105999.0,26762.83529992599,105.0,8.0,106
106999.0,25752.36746143517,106.0,8.0,107
107999.0,22958.97989466872,107.0,8.0,108
108999.0,26338.645243615094,108.0,8.0,109
109999.0,25203.82414582207,109.0,8.0,110
110999.0,25315.265799114833,110.0,8.0,111
111999.0,26150.062656544276,111.0,8.0,112
112999.0,25703.560020883342,112.0,8.0,113
113999.0,25834.856048213253,113.0,9.0,114
114999.0,27380.32741137755,114.0,9.0,115
115999.0,25534.056471993186,115.0,9.0,116
116999.0,26381.788740240878,116.0,9.0,117
117999.0,25759.185251347255,117.0,9.0,118
118999.0,23611.634374178706,118.0,9.0,119
119999.0,24948.231545453487,119.0,9.0,120
120999.0,21726.949865417322,120.0,9.0,121
121999.0,27031.91831036463,121.0,9.0,122
122999.0,27112.26133331631,122.0,9.0,123
123999.0,26921.622085516672,123.0,9.0,124
124999.0,26679.611831085334,124.0,10.0,125
125999.0,27447.466840835896,125.0,10.0,126
126999.0,26823.31899946088,126.0,10.0,127
127999.0,26125.0927162064,127.0,10.0,128
128999.0,27072.597314742598,128.0,10.0,129
129999.0,27066.05358523964,129.0,10.0,130
130999.0,26569.300910993068,130.0,10.0,131
131999.0,26402.947000824468,131.0,10.0,132
132999.0,25339.18087813286,132.0,10.0,133
133999.0,26875.937146218355,133.0,10.0,134
134999.0,27525.023520973766,134.0,10.0,135
135999.0,26926.034918766876,135.0,10.0,136
136999.0,27542.14694925468,136.0,11.0,137
137999.0,27095.452197291048,137.0,11.0,138
138999.0,26657.061461862955,138.0,11.0,139
139999.0,25683.561447014417,139.0,11.0,140
140999.0,27047.719555574455,140.0,11.0,141
141999.0,27324.87859120203,141.0,11.0,142
142999.0,23103.96560147401,142.0,11.0,143
143999.0,26839.465299837255,143.0,11.0,144
144999.0,27994.882358318515,144.0,11.0,145
145999.0,26079.832516274753,145.0,11.0,146
146999.0,27120.654302630734,146.0,11.0,147
147999.0,26227.06461031492,147.0,11.0,148
148999.0,24420.917309053275,148.0,12.0,149
149999.0,26116.996772780145,149.0,12.0,150
150999.0,26965.5187921345,150.0,12.0,151
151999.0,27050.92768179064,151.0,12.0,152
152999.0,28301.201407121676,152.0,12.0,153
153999.0,28756.968479102863,153.0,12.0,154
154999.0,28616.215174784957,154.0,12.0,155
155999.0,27332.55539158332,155.0,12.0,156
156999.0,27761.5369057614,156.0,12.0,157
157999.0,27296.806164198035,157.0,12.0,158
158999.0,28156.55815511849,158.0,12.0,159
159999.0,28023.690026253727,159.0,13.0,160
160999.0,26912.22508930662,160.0,13.0,161
161999.0,25748.904562932363,161.0,13.0,162
162999.0,26630.37324732717,162.0,13.0,163
163999.0,28307.447215035292,163.0,13.0,164
164999.0,28058.0026464518,164.0,13.0,165
165999.0,27225.857772188472,165.0,13.0,166
166999.0,27265.13787436769,166.0,13.0,167
167999.0,27916.23401910791,167.0,13.0,168
168999.0,25784.192069813176,168.0,13.0,169
169999.0,26385.932642819134,169.0,13.0,170
170999.0,26927.78863070897,170.0,13.0,171
171999.0,22494.80093107943,171.0,14.0,172
172999.0,28610.138610011498,172.0,14.0,173
173999.0,27620.728174380696,173.0,14.0,174
174999.0,23220.505976834946,174.0,14.0,175
175999.0,21398.283748901795,175.0,14.0,176
176999.0,24174.543167777865,176.0,14.0,177
177999.0,27314.276758995176,177.0,14.0,178
178999.0,28011.686980177947,178.0,14.0,179
179999.0,28022.84107816733,179.0,14.0,180
180999.0,28549.65172288123,180.0,14.0,181
181999.0,25810.67166294611,181.0,14.0,182
182999.0,28709.10800240464,182.0,14.0,183
183999.0,27758.826586147225,183.0,15.0,184
184999.0,28558.012222974805,184.0,15.0,185
185999.0,28317.726891906546,185.0,15.0,186
186999.0,27734.323382821112,186.0,15.0,187
187999.0,26438.420207534044,187.0,15.0,188
188999.0,27398.51219796293,188.0,15.0,189
189999.0,27085.92664207212,189.0,15.0,190
190999.0,26696.406722899075,190.0,15.0,191
191999.0,26116.69242563266,191.0,15.0,192
192999.0,26389.39140161769,192.0,15.0,193
193999.0,27626.67259803364,193.0,15.0,194
194999.0,27232.054639307902,194.0,16.0,195
195999.0,26198.78803338427,195.0,16.0,196
196999.0,26784.94811779165,196.0,16.0,197
197999.0,27278.80593929597,197.0,16.0,198
198999.0,28010.350941177378,198.0,16.0,199
199999.0,26959.22845795372,199.0,16.0,200
200999.0,27865.51321961181,200.0,16.0,201
201999.0,24129.09205426056,201.0,16.0,202
202999.0,27471.904453763582,202.0,16.0,203
203999.0,28156.333322723836,203.0,16.0,204
204999.0,26600.682399252546,204.0,16.0,205
205999.0,27055.29542576278,205.0,16.0,206
206999.0,27367.7618847211,206.0,17.0,207
207999.0,28112.031305534834,207.0,17.0,208
208999.0,27525.57370053205,208.0,17.0,209
209999.0,27024.870734420467,209.0,17.0,210
210999.0,28024.276812623582,210.0,17.0,211
211999.0,27975.400317303083,211.0,17.0,212
212999.0,26410.210385603346,212.0,17.0,213
213999.0,27000.142126382587,213.0,17.0,214
214999.0,27822.259687076985,214.0,17.0,215
215999.0,28380.90135697999,215.0,17.0,216
216999.0,21190.817509150813,216.0,17.0,217
217999.0,27031.721795111782,217.0,17.0,218
218999.0,28425.090180148793,218.0,18.0,219
219999.0,27609.29891804301,219.0,18.0,220
220999.0,28033.287508015695,220.0,18.0,221
221999.0,27236.80608972883,221.0,18.0,222
222999.0,27275.32574348116,222.0,18.0,223
223999.0,28951.168069247797,223.0,18.0,224
224999.0,26879.813272711926,224.0,18.0,225
225999.0,28114.06004826122,225.0,18.0,226
226999.0,27382.242840197137,226.0,18.0,227
227999.0,27077.41838570108,227.0,18.0,228
228999.0,27712.627968906505,228.0,18.0,229
229999.0,27696.283527646654,229.0,19.0,230
230999.0,27069.194924245236,230.0,19.0,231
231999.0,26661.16813767375,231.0,19.0,232
232999.0,27624.16049778192,232.0,19.0,233
233999.0,27465.194186918907,233.0,19.0,234
234999.0,28412.24483011176,234.0,19.0,235
235999.0,27563.79669864219,235.0,19.0,236
236999.0,27881.15043306723,236.0,19.0,237
237999.0,27234.526418401198,237.0,19.0,238
238999.0,27947.62700826554,238.0,19.0,239
239999.0,28161.132507752427,239.0,19.0,240
240999.0,28391.402551490068,240.0,19.0,241
241999.0,26333.89282437736,241.0,20.0,242
242999.0,25693.284097515654,242.0,20.0,243
243999.0,27155.511476386404,243.0,20.0,244
244999.0,28128.189210249315,244.0,20.0,245
245999.0,27529.956847404457,245.0,20.0,246
246999.0,26883.76636782479,246.0,20.0,247
247999.0,27374.667550183563,247.0,20.0,248
248999.0,27392.243484427432,248.0,20.0,249
249999.0,28792.75909882462,249.0,20.0,250
250999.0,29181.91910912274,250.0,20.0,251
251999.0,28395.77564936537,251.0,20.0,252
252999.0,25873.810634247846,252.0,20.0,253
253999.0,26468.24312955063,253.0,21.0,254
254999.0,27154.72836472051,254.0,21.0,255
255999.0,27257.866891603593,255.0,21.0,256
256999.0,27140.655533929923,256.0,21.0,257
257999.0,27895.08856687038,257.0,21.0,258
258999.0,27207.791015771614,258.0,21.0,259
259999.0,27210.799674277376,259.0,21.0,260
260999.0,28133.10277218945,260.0,21.0,261
261999.0,27994.204192585337,261.0,21.0,262
262999.0,28081.26533693624,262.0,21.0,263
263999.0,27429.221163825438,263.0,21.0,264
264999.0,28162.39224497184,264.0,22.0,265
265999.0,28031.497659988563,265.0,22.0,266
266999.0,28096.55672438922,266.0,22.0,267
267999.0,27585.402150115347,267.0,22.0,268
268999.0,28769.61716941364,268.0,22.0,269
269999.0,27581.05155224197,269.0,22.0,270
270999.0,29124.416219002265,270.0,22.0,271
271999.0,27940.541065366077,271.0,22.0,272
272999.0,28205.838367461827,272.0,22.0,273
273999.0,27562.955978491795,273.0,22.0,274
274999.0,25149.411221558716,274.0,22.0,275
275999.0,27187.415684568943,275.0,22.0,276
276999.0,27823.509085338697,276.0,23.0,277
277999.0,28509.551493641015,277.0,23.0,278
278999.0,28370.000268579075,278.0,23.0,279
279999.0,29089.32170982249,279.0,23.0,280
280999.0,29035.717091871596,280.0,23.0,281
281999.0,28173.51144805037,281.0,23.0,282
282999.0,26164.397011547,282.0,23.0,283
283999.0,28285.663806599372,283.0,23.0,284
284999.0,27835.847464532668,284.0,23.0,285
285999.0,28832.70400104927,285.0,23.0,286
286999.0,29176.03054825729,286.0,23.0,287
287999.0,29013.533312808508,287.0,23.0,288
288999.0,27763.308065270394,288.0,24.0,289
289999.0,28190.461247148964,289.0,24.0,290
290999.0,28900.37899829441,290.0,24.0,291
291999.0,28734.706296156986,291.0,24.0,292
292999.0,28739.696588371742,292.0,24.0,293
293999.0,27198.48732328572,293.0,24.0,294
294999.0,26741.82828671351,294.0,24.0,295
295999.0,27781.792958077094,295.0,24.0,296
296999.0,28793.88128118745,296.0,24.0,297
297999.0,23103.87057119801,297.0,24.0,298
298999.0,26707.048998160284,298.0,24.0,299
299999.0,27818.33973463744,299.0,25.0,300
